Fournisseurs,N° Article,Désignation,Quantité,Prix
ElectroMat,1001,Disjoncteur 16A,10,12.50
ElectroMat,1002,Disjoncteur 32A,5,18.90
Cablage SA,2001,Câble cuivre 3x2.5mm²,100,1.20
Cablage SA,2002,Câble cuivre 3x6mm²,50,2.80
OutilsPro,3001,Pince à dénuder,2,25.00
OutilsPro,3002,Tournevis isolé,5,7.50
Stéphane,3002,Tournevis isolé,5,25.75
Duperret,3002,Tournevis isolé,5,100
Nexans,10152843,GKN 3x6/6,5,14.285128
Nexans,10152847,GKN 3x10/10,5,16.405232
Nexans,10152852,GKN 3x16/16,5,19.7676008
Nexans,10152854,GKN 3x25/25,5,24.5935744
Nexans,10152855,GKN 3x50/50,5,39.0363488
Nexans,10152858,GKN 3x95/95,5,63.79596
Nexans,10152860,GKN 3x150/150,5,98.0043896
Nexans,10152862,GKN 3x240/240,5,161.230012
Nexans,10152839,GKN 1x150/50,5,38.224048
Nexans,10152840,GKN 1x240/80,5,56.788152
Nexans,10152841,GKN1x300/100,5,69.01756
Nexans,10512716,GKN 4x6/6 Cure 3LN,5,17.1695928
Nexans,10152871,GKN 3 x 240 Al rm / 150 mm2 Cu K,5,73.91583736
Nexans, ,Trafoflex 1x300,5,64.758176
Symalit,531481_411.111,Tubes de protection de câbles CHIARO Rouge 72/60 5m,5,6.65
Symalit,531482_411.112,Tubes de protection de câbles CHIARO Rouge 92/80 5m,5,8.6
Symalit,531483_411.113,Tubes de protection de câbles CHIARO Rouge 112/100 5m,5,10.15
Symalit,531449_411.114,Tubes de protection de câbles CHIARO Rouge 132/120 5m,5,11.95
Symalit,531410_411.115,Tubes de protection de câbles CHIARO Rouge 163/148 5m,5,19.2
Symalit,530548_411.211,Tubes de protection de câbles CHIARO Rouge 72/60 10m,10,6.1
Symalit,530552_411.212,Tubes de protection de câbles CHIARO Rouge 92/80 10m,10,7.85
Symalit,530514_411.213,Tubes de protection de câbles CHIARO Rouge 112/100 10m,10,9.15
Symalit,530326_411.214,Tubes de protection de câbles CHIARO Rouge 132/120 10m,10,10.9
Symalit,508140_411.215,Tubes de protection de câbles CHIARO Rouge 163/148 10m,10,17.6
Symalit,507482_411.211,Tubes de protection de câbles CHIARO Vert 72/60 10m,10,7.1
Symalit,531165_411.212,Tubes de protection de câbles CHIARO Vert 92/80 10m,10,8.85
Symalit,507483_411.213,Tubes de protection de câbles CHIARO Vert 112/100 10m,10,10.15
Symalit,531778_411.214,Tubes de protection de câbles CHIARO Vert 132/120 10m,10,11.90
Symalit,507287_412.214,Tubes de protection de câbles DIL-force Rouge 112/100 10m,10,12.35
Symalit,507283_412.215,Tubes de protection de câbles DIL-force Rouge 132/120 10m,10,15.85
Symalit,530992_412.216,Tubes de protection de câbles DIL-force Rouge 163/148 10m,10,23.4
Symalit,531000_412.217,Tubes de protection de câbles DIL-force Rouge 214/195 10m,10,41
Symalit,506836	421.111,Coudes de protection CHIARO Rouge 45° 600,0,29.8
Symalit,506848	421.112,Coudes de protection CHIARO Rouge 45° 800,0,34
Symalit,531902	421.113,Coudes de protection CHIARO Rouge 45° 1000,0,49.7
Symalit,531904	421.114,Coudes de protection CHIARO Rouge 45° 1200,0,61.2
Symalit,531906	421.115,Coudes de protection CHIARO Rouge 45° 1500,0,93.8
Symalit,531908	421.116,Coudes de protection CHIARO Rouge 45° 2000,0,152.8
Symalit,506837	421.211,Coudes de protection CHIARO Rouge 90° 600,0,43
Symalit,506838	421.212,Coudes de protection CHIARO Rouge 90° 800,0,46.1
Symalit,531903	421.213,Coudes de protection CHIARO Rouge 90° 1000,0,71.6
Symalit,531905	421.214,Coudes de protection CHIARO Rouge 90° 1200,0,96.4
Symalit,531907	421.215,Coudes de protection CHIARO Rouge 90° 1500,0,130.9
Symalit,531909	421.216,Coudes de protection CHIARO Rouge 90° 2000,0,293.4
Symalit,531912	421.111,Coudes de protection CHIARO Vert 45° 600,0,32.1
Symalit,531913	421.112,Coudes de protection CHIARO Vert 45° 800,0,36.6
Symalit,531914	421.113,Coudes de protection CHIARO Vert 45° 1000,0,53.6
Symalit,531915	421.114,Coudes de protection CHIARO Vert 45° 1200,0,66
Symalit,531895	421.211,Coudes de protection CHIARO Vert 90° 600,0,46.4
Symalit,531896	421.212,Coudes de protection CHIARO Vert 90° 800,0,49.7
Symalit,531897	421.213,Coudes de protection CHIARO Vert 90° 1000,0,77.2
Symalit,531898	421.214,Coudes de protection CHIARO Vert 90° 1200,0,104
